PUBLICATION DATE,FISCAL YEAR,AGENCY CODE,AGENCY NAME,ALL FUNDS,CITY FUND,REMARK
20171130,2011,991,General Reserve,0,0,
20171130,2002,858,D.O.I.T.T.,170951,53506,
20171130,2008,817,Dept of Mental Health,0,0,
20171130,2009,991,General Reserve,0,0,
20171130,2008,819,Health + Hospitals,256837,128181,
20171130,2002,100,M.A.C. Debt Service,462900,462900,
20171130,2002,101,Public Advocate,2821,2821,
20171130,2002,102,City Council,47299,47094,
20171130,2002,103,City Clerk,2727,2650,
20171130,2002,125,Department for the Aging,231227,166267,
20171130,2002,126,Department of Cultural Affairs,124680,122942,
20171130,2002,127,Financial Info. Serv. Agency,30790,26105,
20171130,2002,130,Department of Juvenile Justice,108943,74565,
20171130,2002,131,Office of Payroll Admin.,6129,5900,
20171130,2013,103,City Clerk,4407,4372,
20171130,2002,132,Independent Budget Office,2551,2551,
20171130,2002,133,Equal Employment Practices Com,342,342,
20171130,2002,134,Civil Service Commission,471,471,
20171130,2002,136,Landmarks Preservation Comm.,3170,2651,
20171130,2002,138,Districting Commission,0,0,
20171130,2002,156,Taxi & Limousine Commission,22978,22597,
20171130,2002,226,Commission on Human Rights,7463,3192,
20171130,2002,260,Youth & Community Development,153014,93681,
20171130,2002,312,Conflicts of Interest Board,1624,1624,
20171130,2002,313,Office of Collective Barg.,1482,1330,
20171130,2002,499,Community Boards (All),11407,11407,
20171130,2002,781,Department of Probation,89660,59297,
20171130,2002,801,Dept. Small Business Services,97229,88086,
20171130,2002,806,Housing Preservation & Dev.,408030,63211,
20171130,2002,810,Department of Buildings,56378,55750,
20171130,2002,816,Dept Health & Mental Hygiene,1436161,448564,
20171130,2002,817,Dept of Mental Health,276078,84754,
20171130,2002,819,Health + Hospitals,909465,826437,
20171130,2002,820,Office of Administrative Trials and Hearings,0,0,
20171130,2002,826,Dept of Environmental Prot.,668217,626224,
20171130,2002,827,Department of Sanitation,1005312,909920,
20171130,2002,829,Business Integrity Commission,2779,2627,
20171130,2002,836,Department of Finance,183819,179816,
20171130,2002,841,Department of Transportation,515126,271260,
20171130,2002,846,Dept of Parks and Recreation,270834,167554,
20171130,2002,850,Dept. of Design & Construction,621330,27269,
20171130,2002,856,Dept of Citywide Admin Srvces,643875,162231,
20171130,2002,860,Dept of Records & Info Serv.,4219,3303,
20171130,2002,866,Department of Consumer Affairs,14302,12258,
20171130,2002,901,District Attorney - N.Y.,83127,67086,
20171130,2002,902,District Attorney - Bronx,45355,38992,
20171130,2002,903,District Attorney - Kings,80626,71802,
20171130,2002,904,District Attorney - Queens,39448,35201,
20171130,2002,905,District Attorney - Richmond,7070,6045,
20171130,2002,906,Off. of Prosec. & Spec. Narc.,16012,13986,
20171130,2002,941,Public Administrator - N.Y.,915,915,
20171130,2002,942,Public Administrator - Bronx,329,329,
20171130,2002,943,Public Administrator- Brooklyn,439,439,
20171130,2002,944,Public Administrator - Queens,343,343,
20171130,2002,945,Public Administrator -Richmond,237,237,
20171130,2002,989,Prior Payable Adjustment,-557916,-413262,
20171130,2002,991,General Reserve,0,0,
20171130,2002,992,Citywide Savings Initiatives,0,0,
20171130,2002,995,Energy Adjustment,0,0,
20171130,2002,996,Lease Adjustment,0,0,
20171130,2002,998,OTPS Inflation Adjustment,0,0,
20171130,2002,ICA,Intra-City Adjustment,-1390354,0,
20171130,2002,PDA,Prepayment and Defeasance Adjustment,-2263063,-2263063,
20171130,2002,TCW,CITYWIDE TOTAL,41615432,26567991,
20171130,2003,100,M.A.C. Debt Service,225236,225236,
20171130,2003,101,Public Advocate,1854,1854,
20171130,2003,102,City Council,44921,43876,
20171130,2003,103,City Clerk,2586,2531,
20171130,2003,125,Department for the Aging,229491,116533,
20171130,2003,126,Department of Cultural Affairs,120425,119435,
20171130,2003,127,Financial Info. Serv. Agency,33047,26492,
20171130,2003,130,Department of Juvenile Justice,108402,76845,
20171130,2003,131,Office of Payroll Admin.,6733,5812,
20171130,2003,132,Independent Budget Office,2262,2262,
20171130,2003,133,Equal Employment Practices Com,475,475,
20171130,2003,134,Civil Service Commission,480,480,
20171130,2003,136,Landmarks Preservation Comm.,3046,2450,
20171130,2003,138,Districting Commission,1660,1660,
20171130,2003,156,Taxi & Limousine Commission,21534,21527,
20171130,2003,226,Commission on Human Rights,7756,3222,
20171130,2003,260,Youth & Community Development,157461,89980,
20171130,2003,312,Conflicts of Interest Board,1547,1547,
20171130,2003,313,Office of Collective Barg.,1545,1378,
20171130,2003,499,Community Boards (All),11536,11531,
20171130,2003,781,Department of Probation,83205,54502,
20171130,2003,801,Dept. Small Business Services,41954,18958,
20171130,2003,806,Housing Preservation & Dev.,389902,57098,
20171130,2003,810,Department of Buildings,57862,57445,
20171130,2003,816,Dept Health & Mental Hygiene,1428497,518987,
20171130,2003,817,Dept of Mental Health,0,0,
20171130,2003,819,Health + Hospitals,914973,826572,
20171130,2003,820,Office of Administrative Trials and Hearings,0,0,
20171130,2003,826,Dept of Environmental Prot.,701640,655668,
20171130,2003,827,Department of Sanitation,991439,956840,
20171130,2003,829,Business Integrity Commission,4685,4680,
20171130,2003,836,Department of Finance,181778,176556,
20171130,2003,841,Department of Transportation,501447,255506,
20171130,2003,846,Dept of Parks and Recreation,254169,159653,
20171130,2003,850,Dept. of Design & Construction,162386,6437,
20171130,2003,856,Dept of Citywide Admin Srvces,683421,143601,
20171130,2003,858,D.O.I.T.T.,190359,70636,
20171130,2003,860,Dept of Records & Info Serv.,4219,3386,
20171130,2003,866,Department of Consumer Affairs,13948,12153,
20171130,2003,901,District Attorney - N.Y.,78975,63777,
20171130,2003,902,District Attorney - Bronx,42730,35897,
20171130,2003,903,District Attorney - Kings,72604,61516,
20171130,2003,904,District Attorney - Queens,38756,32592,
20171130,2003,905,District Attorney - Richmond,6352,5430,
20171130,2003,906,Off. of Prosec. & Spec. Narc.,15110,12920,
20171130,2003,941,Public Administrator - N.Y.,992,992,
20171130,2003,942,Public Administrator - Bronx,331,331,
20171130,2003,943,Public Administrator- Brooklyn,419,419,
20171130,2003,944,Public Administrator - Queens,344,344,
20171130,2003,945,Public Administrator -Richmond,223,223,
20171130,2003,989,Prior Payable Adjustment,-372892,-177968,
20171130,2003,991,General Reserve,0,0,
20171130,2003,992,Citywide Savings Initiatives,0,0,
20171130,2003,995,Energy Adjustment,0,0,
20171130,2003,996,Lease Adjustment,0,0,
20171130,2003,998,OTPS Inflation Adjustment,0,0,
20171130,2003,ICA,Intra-City Adjustment,-1110255,0,
20171130,2003,PDA,Prepayment and Defeasance Adjustment,736774,736774,
20171130,2003,TCW,CITYWIDE TOTAL,45177308,29935781,
20171130,2004,100,M.A.C. Debt Service,501534,501534,
20171130,2004,101,Public Advocate,2069,2069,
20171130,2004,102,City Council,46465,45461,
20171130,2004,103,City Clerk,2998,2963,
20171130,2004,125,Department for the Aging,228593,88119,
20171130,2004,126,Department of Cultural Affairs,118141,117152,
20171130,2004,127,Financial Info. Serv. Agency,35386,29869,
20171130,2004,130,Department of Juvenile Justice,93009,62859,
20171130,2004,131,Office of Payroll Admin.,7200,6199,
20171130,2004,132,Independent Budget Office,2422,2422,
20171130,2004,133,Equal Employment Practices Com,478,474,
20171130,2004,134,Civil Service Commission,461,461,
20171130,2004,136,Landmarks Preservation Comm.,3127,2539,
20171130,2004,138,Districting Commission,4,4,
20171130,2004,156,Taxi & Limousine Commission,23170,23165,
20171130,2004,226,Commission on Human Rights,7243,2828,
20171130,2004,260,Youth & Community Development,244445,115124,
20171130,2004,312,Conflicts of Interest Board,1438,1438,
20171130,2004,313,Office of Collective Barg.,1552,1411,
20171130,2004,499,Community Boards (All),11964,11940,
20171130,2004,781,Department of Probation,79282,56678,
20171130,2004,801,Dept. Small Business Services,112277,36454,
20171130,2004,806,Housing Preservation & Dev.,418602,56286,
20171130,2004,810,Department of Buildings,57895,57770,
20171130,2004,816,Dept Health & Mental Hygiene,1470614,555913,
20171130,2004,817,Dept of Mental Health,0,0,
20171130,2004,819,Health + Hospitals,946842,818027,
20171130,2004,820,Office of Administrative Trials and Hearings,0,0,
20171130,2004,826,Dept of Environmental Prot.,709230,661120,
20171130,2004,827,Department of Sanitation,998001,965605,
20171130,2004,829,Business Integrity Commission,4383,4378,
20171130,2004,836,Department of Finance,220635,201277,
20171130,2004,841,Department of Transportation,501650,280376,
20171130,2004,846,Dept of Parks and Recreation,261616,184255,
20171130,2004,850,Dept. of Design & Construction,82566,0,
20171130,2004,856,Dept of Citywide Admin Srvces,688750,136922,
20171130,2004,858,D.O.I.T.T.,201380,82439,
20171130,2004,860,Dept of Records & Info Serv.,4160,3698,
20171130,2004,866,Department of Consumer Affairs,14627,11799,
20171130,2004,901,District Attorney - N.Y.,78878,66875,
20171130,2004,902,District Attorney - Bronx,43410,36602,
20171130,2004,903,District Attorney - Kings,69994,61268,
20171130,2004,904,District Attorney - Queens,38350,34698,
20171130,2004,905,District Attorney - Richmond,6897,5765,
20171130,2004,906,Off. of Prosec. & Spec. Narc.,15510,13490,
20171130,2004,941,Public Administrator - N.Y.,964,964,
20171130,2004,942,Public Administrator - Bronx,320,320,
20171130,2004,943,Public Administrator- Brooklyn,403,403,
20171130,2004,944,Public Administrator - Queens,344,344,
20171130,2004,945,Public Administrator -Richmond,234,234,
20171130,2004,989,Prior Payable Adjustment,-311474,-329182,
20171130,2004,991,General Reserve,0,0,
20171130,2004,992,Citywide Savings Initiatives,0,0,
20171130,2004,995,Energy Adjustment,0,0,
20171130,2004,996,Lease Adjustment,0,0,
20171130,2004,998,OTPS Inflation Adjustment,0,0,
20171130,2004,ICA,Intra-City Adjustment,-1213036,0,
20171130,2004,PDA,Prepayment and Defeasance Adjustment,705916,705916,
20171130,2005,943,Public Administrator- Brooklyn,356,356,
20171130,2004,TCW,CITYWIDE TOTAL,47728791,32575676,
20171130,2005,100,M.A.C. Debt Service,110772,110772,
20171130,2005,101,Public Advocate,3110,3110,
20171130,2005,102,City Council,47428,46329,
20171130,2005,103,City Clerk,3020,3009,
20171130,2005,125,Department for the Aging,231264,99697,
20171130,2005,126,Department of Cultural Affairs,122237,120563,
20171130,2005,127,Financial Info. Serv. Agency,37278,31100,
20171130,2005,130,Department of Juvenile Justice,95827,68299,
20171130,2005,131,Office of Payroll Admin.,9715,8205,
20171130,2005,132,Independent Budget Office,2518,2518,
20171130,2005,133,Equal Employment Practices Com,538,538,
20171130,2005,134,Civil Service Commission,483,483,
20171130,2005,136,Landmarks Preservation Comm.,3329,2877,
20171130,2005,138,Districting Commission,0,0,
20171130,2005,156,Taxi & Limousine Commission,24847,24847,
20171130,2005,226,Commission on Human Rights,6680,2590,
20171130,2005,260,Youth & Community Development,246167,126952,
20171130,2005,312,Conflicts of Interest Board,1423,1423,
20171130,2005,313,Office of Collective Barg.,1611,1456,
20171130,2005,499,Community Boards (All),12312,12285,
20171130,2005,781,Department of Probation,78410,60587,
20171130,2005,801,Dept. Small Business Services,108277,31075,
20171130,2005,806,Housing Preservation & Dev.,473873,53362,
20171130,2005,810,Department of Buildings,64273,64240,
20171130,2005,816,Dept Health & Mental Hygiene,1443466,539751,
20171130,2005,817,Dept of Mental Health,0,0,
20171130,2005,819,Health + Hospitals,1125427,997358,
20171130,2005,820,Office of Administrative Trials and Hearings,0,0,
20171130,2005,826,Dept of Environmental Prot.,755584,704929,
20171130,2005,827,Department of Sanitation,1034946,1009084,
20171130,2005,829,Business Integrity Commission,4816,4816,
20171130,2005,836,Department of Finance,202146,197565,
20171130,2005,841,Department of Transportation,553590,300156,
20171130,2005,846,Dept of Parks and Recreation,287086,202613,
20171130,2005,850,Dept. of Design & Construction,85061,0,
20171130,2005,856,Dept of Citywide Admin Srvces,762188,150719,
20171130,2005,858,D.O.I.T.T.,223681,101330,
20171130,2005,860,Dept of Records & Info Serv.,4329,3678,
20171130,2005,866,Department of Consumer Affairs,15386,12934,
20171130,2005,901,District Attorney - N.Y.,79272,64975,
20171130,2005,902,District Attorney - Bronx,44219,37902,
20171130,2005,903,District Attorney - Kings,72683,66247,
20171130,2005,904,District Attorney - Queens,39299,34351,
20171130,2005,905,District Attorney - Richmond,6977,5902,
20171130,2005,906,Off. of Prosec. & Spec. Narc.,15433,13511,
20171130,2005,941,Public Administrator - N.Y.,1030,1030,
20171130,2005,942,Public Administrator - Bronx,308,308,
20171130,2005,944,Public Administrator - Queens,350,350,
20171130,2005,945,Public Administrator -Richmond,269,269,
20171130,2005,989,Prior Payable Adjustment,-338787,-225860,
20171130,2005,991,General Reserve,0,0,
20171130,2005,992,Citywide Savings Initiatives,0,0,
20171130,2005,995,Energy Adjustment,0,0,
20171130,2005,996,Lease Adjustment,0,0,
20171130,2005,998,OTPS Inflation Adjustment,0,0,
20171130,2005,ICA,Intra-City Adjustment,-1279242,0,
20171130,2005,PDA,Prepayment and Defeasance Adjustment,1805707,1805707,
20171130,2005,TCW,CITYWIDE TOTAL,53632988,36947700,
20171130,2006,100,M.A.C. Debt Service,10000,10000,
20171130,2006,101,Public Advocate,2903,2903,
20171130,2006,102,City Council,49000,47886,
20171130,2006,103,City Clerk,3117,3117,
20171130,2006,125,Department for the Aging,268241,132764,
20171130,2006,126,Department of Cultural Affairs,136303,134266,
20171130,2006,127,Financial Info. Serv. Agency,44907,37132,
20171130,2006,130,Department of Juvenile Justice,104291,76493,
20171130,2006,131,Office of Payroll Admin.,9285,8188,
20171130,2006,132,Independent Budget Office,2658,2658,
20171130,2006,133,Equal Employment Practices Com,729,729,
20171130,2006,134,Civil Service Commission,465,465,
20171130,2006,136,Landmarks Preservation Comm.,3680,2945,
20171130,2006,138,Districting Commission,0,0,
20171130,2006,156,Taxi & Limousine Commission,25998,25554,
20171130,2006,226,Commission on Human Rights,6526,2457,
20171130,2006,260,Youth & Community Development,303039,180391,
20171130,2006,312,Conflicts of Interest Board,1435,1435,
20171130,2006,313,Office of Collective Barg.,1702,1534,
20171130,2006,499,Community Boards (All),13027,13007,
20171130,2006,781,Department of Probation,79771,60637,
20171130,2006,801,Dept. Small Business Services,125295,38369,
20171130,2006,806,Housing Preservation & Dev.,543240,68516,
20171130,2006,810,Department of Buildings,81526,81467,
20171130,2006,816,Dept Health & Mental Hygiene,1509524,587106,
20171130,2006,817,Dept of Mental Health,0,0,
20171130,2006,819,Health + Hospitals,1590636,1469669,
20171130,2006,820,Office of Administrative Trials and Hearings,0,0,
20171130,2006,826,Dept of Environmental Prot.,804393,757796,
20171130,2006,827,Department of Sanitation,1094894,1049104,
20171130,2006,829,Business Integrity Commission,4957,4957,
20171130,2006,836,Department of Finance,200527,196201,
20171130,2006,841,Department of Transportation,623223,337331,
20171130,2006,846,Dept of Parks and Recreation,308203,221867,
20171130,2006,850,Dept. of Design & Construction,87866,3235,
20171130,2006,856,Dept of Citywide Admin Srvces,855828,153615,
20171130,2006,858,D.O.I.T.T.,237224,107867,
20171130,2006,860,Dept of Records & Info Serv.,4592,3886,
20171130,2006,866,Department of Consumer Affairs,15561,12781,
20171130,2006,901,District Attorney - N.Y.,81147,68466,
20171130,2006,902,District Attorney - Bronx,45804,38857,
20171130,2006,903,District Attorney - Kings,76019,67447,
20171130,2006,904,District Attorney - Queens,41788,35567,
20171130,2006,905,District Attorney - Richmond,6964,5958,
20171130,2006,906,Off. of Prosec. & Spec. Narc.,16081,14141,
20171130,2006,941,Public Administrator - N.Y.,1086,1086,
20171130,2006,942,Public Administrator - Bronx,317,317,
20171130,2006,943,Public Administrator- Brooklyn,454,454,
20171130,2006,944,Public Administrator - Queens,414,414,
20171130,2006,945,Public Administrator -Richmond,339,339,
20171130,2006,989,Prior Payable Adjustment,-673255,-453519,
20171130,2006,991,General Reserve,0,0,
20171130,2006,992,Citywide Savings Initiatives,0,0,
20171130,2006,995,Energy Adjustment,0,0,
20171130,2006,996,Lease Adjustment,0,0,
20171130,2006,998,OTPS Inflation Adjustment,0,0,
20171130,2006,ICA,Intra-City Adjustment,-1396500,0,
20171130,2006,PDA,Prepayment and Defeasance Adjustment,372197,372197,
20171130,2006,TCW,CITYWIDE TOTAL,54713948,38370483,
20171130,2007,100,M.A.C. Debt Service,10000,10000,
20171130,2007,101,Public Advocate,3031,3031,
20171130,2007,102,City Council,50588,50588,
20171130,2007,103,City Clerk,3630,3630,
20171130,2007,125,Department for the Aging,271907,133165,
20171130,2007,126,Department of Cultural Affairs,149996,147812,
20171130,2007,127,Financial Info. Serv. Agency,51289,42585,
20171130,2007,130,Department of Juvenile Justice,127676,85206,
20171130,2007,131,Office of Payroll Admin.,11308,9426,
20171130,2007,132,Independent Budget Office,2845,2845,
20171130,2007,133,Equal Employment Practices Com,785,785,
20171130,2007,134,Civil Service Commission,530,530,
20171130,2007,136,Landmarks Preservation Comm.,4224,3550,
20171130,2007,138,Districting Commission,0,0,
20171130,2007,156,Taxi & Limousine Commission,25953,25953,
20171130,2007,226,Commission on Human Rights,6673,2683,
20171130,2007,260,Youth & Community Development,310561,210724,
20171130,2007,312,Conflicts of Interest Board,1741,1741,
20171130,2007,313,Office of Collective Barg.,1819,1634,
20171130,2007,499,Community Boards (All),13165,13131,
20171130,2007,781,Department of Probation,80679,62434,
20171130,2007,801,Dept. Small Business Services,122408,55308,
20171130,2007,806,Housing Preservation & Dev.,576104,74217,
20171130,2007,810,Department of Buildings,87195,87086,
20171130,2007,816,Dept Health & Mental Hygiene,1561741,589107,
20171130,2007,817,Dept of Mental Health,0,0,
20171130,2007,819,Health + Hospitals,810252,663259,
20171130,2007,820,Office of Administrative Trials and Hearings,0,0,
20171130,2007,826,Dept of Environmental Prot.,868771,808320,
20171130,2007,827,Department of Sanitation,1173420,1144784,
20171130,2007,829,Business Integrity Commission,5166,5135,
20171130,2007,836,Department of Finance,205866,200698,
20171130,2007,841,Department of Transportation,618376,358108,
20171130,2007,846,Dept of Parks and Recreation,332561,250150,
20171130,2007,850,Dept. of Design & Construction,96247,4671,
20171130,2007,856,Dept of Citywide Admin Srvces,934640,179008,
20171130,2007,858,D.O.I.T.T.,255567,132641,
20171130,2007,860,Dept of Records & Info Serv.,4729,4078,
20171130,2007,866,Department of Consumer Affairs,17113,15398,
20171130,2007,901,District Attorney - N.Y.,86427,71183,
20171130,2007,902,District Attorney - Bronx,47699,41163,
20171130,2007,903,District Attorney - Kings,79286,70429,
20171130,2007,904,District Attorney - Queens,44351,37909,
20171130,2007,905,District Attorney - Richmond,7595,6591,
20171130,2007,906,Off. of Prosec. & Spec. Narc.,16782,15066,
20171130,2007,941,Public Administrator - N.Y.,1104,1104,
20171130,2007,942,Public Administrator - Bronx,429,429,
20171130,2007,943,Public Administrator- Brooklyn,501,501,
20171130,2007,944,Public Administrator - Queens,408,408,
20171130,2007,945,Public Administrator -Richmond,348,348,
20171130,2007,989,Prior Payable Adjustment,-658175,-514796,
20171130,2007,991,General Reserve,0,0,
20171130,2007,992,Citywide Savings Initiatives,0,0,
20171130,2007,995,Energy Adjustment,0,0,
20171130,2007,996,Lease Adjustment,0,0,
20171130,2007,998,OTPS Inflation Adjustment,0,0,
20171130,2007,ICA,Intra-City Adjustment,-1387014,0,
20171130,2007,PDA,Prepayment and Defeasance Adjustment,1955309,1955309,
20171130,2007,TCW,CITYWIDE TOTAL,59811575,42697117,
20171130,2008,100,M.A.C. Debt Service,2750,2750,
20171130,2008,101,Public Advocate,3115,3115,
20171130,2008,102,City Council,51211,51211,
20171130,2008,103,City Clerk,3812,3812,
20171130,2008,125,Department for the Aging,290487,139140,
20171130,2008,126,Department of Cultural Affairs,161276,159002,
20171130,2008,127,Financial Info. Serv. Agency,56679,43965,
20171130,2008,130,Department of Juvenile Justice,130984,97632,
20171130,2008,131,Office of Payroll Admin.,12979,11195,
20171130,2008,132,Independent Budget Office,2925,2925,
20171130,2008,133,Equal Employment Practices Com,764,764,
20171130,2008,134,Civil Service Commission,583,583,
20171130,2008,136,Landmarks Preservation Comm.,4408,3727,
20171130,2008,138,Districting Commission,0,0,
20171130,2008,156,Taxi & Limousine Commission,27763,27763,
20171130,2008,226,Commission on Human Rights,6779,2506,
20171130,2008,260,Youth & Community Development,384061,259368,
20171130,2008,312,Conflicts of Interest Board,1882,1882,
20171130,2008,313,Office of Collective Barg.,1861,1671,
20171130,2008,499,Community Boards (All),13620,13601,
20171130,2008,781,Department of Probation,81589,64131,
20171130,2008,801,Dept. Small Business Services,136557,75386,
20171130,2008,806,Housing Preservation & Dev.,597994,75273,
20171130,2008,810,Department of Buildings,99410,99387,
20171130,2008,816,Dept Health & Mental Hygiene,1586921,570456,
20171130,2008,820,Office of Administrative Trials and Hearings,0,0,
20171130,2008,826,Dept of Environmental Prot.,919095,849897,
20171130,2008,827,Department of Sanitation,1244392,1206386,
20171130,2008,829,Business Integrity Commission,5771,5771,
20171130,2008,836,Department of Finance,215498,210240,
20171130,2008,841,Department of Transportation,697786,421804,
20171130,2008,846,Dept of Parks and Recreation,370648,277209,
20171130,2008,850,Dept. of Design & Construction,96541,7579,
20171130,2008,856,Dept of Citywide Admin Srvces,997469,195882,
20171130,2008,858,D.O.I.T.T.,308265,179365,
20171130,2008,860,Dept of Records & Info Serv.,5889,5178,
20171130,2008,866,Department of Consumer Affairs,20513,17052,
20171130,2008,901,District Attorney - N.Y.,90264,74669,
20171130,2008,902,District Attorney - Bronx,50762,43715,
20171130,2008,903,District Attorney - Kings,83584,73589,
20171130,2008,904,District Attorney - Queens,47033,40364,
20171130,2008,905,District Attorney - Richmond,8311,7231,
20171130,2008,906,Off. of Prosec. & Spec. Narc.,17778,16105,
20171130,2008,941,Public Administrator - N.Y.,1143,1143,
20171130,2008,942,Public Administrator - Bronx,418,418,
20171130,2008,943,Public Administrator- Brooklyn,536,536,
20171130,2008,944,Public Administrator - Queens,421,421,
20171130,2008,945,Public Administrator -Richmond,362,362,
20171130,2008,989,Prior Payable Adjustment,-615910,-398740,
20171130,2008,991,General Reserve,0,0,
20171130,2008,992,Citywide Savings Initiatives,0,0,
20171130,2008,995,Energy Adjustment,0,0,
20171130,2008,996,Lease Adjustment,0,0,
20171130,2008,998,OTPS Inflation Adjustment,0,0,
20171130,2008,ICA,Intra-City Adjustment,-1477192,0,
20171130,2008,PDA,Prepayment and Defeasance Adjustment,1602961,1602961,
20171130,2008,TCW,CITYWIDE TOTAL,62588853,43931950,
20171130,2009,100,M.A.C. Debt Service,0,0,
20171130,2009,101,Public Advocate,2809,2809,
20171130,2009,102,City Council,49526,49482,
20171130,2009,103,City Clerk,4330,4330,
20171130,2009,125,Department for the Aging,290255,166283,
20171130,2009,126,Department of Cultural Affairs,151387,148586,
20171130,2009,127,Financial Info. Serv. Agency,58423,44666,
20171130,2009,130,Department of Juvenile Justice,134506,96496,
20171130,2009,131,Office of Payroll Admin.,13439,11632,
20171130,2009,132,Independent Budget Office,2884,2884,
20171130,2009,133,Equal Employment Practices Com,766,766,
20171130,2009,134,Civil Service Commission,607,607,
20171130,2009,136,Landmarks Preservation Comm.,4599,3858,
20171130,2009,138,Districting Commission,0,0,
20171130,2009,156,Taxi & Limousine Commission,28875,28875,
20171130,2009,226,Commission on Human Rights,7130,2496,
20171130,2009,260,Youth & Community Development,382705,254942,
20171130,2009,312,Conflicts of Interest Board,1898,1898,
20171130,2009,313,Office of Collective Barg.,1882,1690,
20171130,2009,499,Community Boards (All),13936,13882,
20171130,2009,781,Department of Probation,82134,62980,
20171130,2009,801,Dept. Small Business Services,153491,75404,
20171130,2009,806,Housing Preservation & Dev.,702224,74461,
20171130,2009,810,Department of Buildings,109678,109677,
20171130,2009,816,Dept Health & Mental Hygiene,1712205,656111,
20171130,2009,817,Dept of Mental Health,0,0,
20171130,2009,819,Health + Hospitals,204573,94267,
20171130,2009,820,Office of Administrative Trials and Hearings,0,0,
20171130,2009,826,Dept of Environmental Prot.,1034095,907759,
20171130,2009,827,Department of Sanitation,1258215,1221933,
20171130,2009,829,Business Integrity Commission,6272,6264,
20171130,2009,836,Department of Finance,225096,218656,
20171130,2009,841,Department of Transportation,787993,457419,
20171130,2009,846,Dept of Parks and Recreation,379595,279250,
20171130,2009,850,Dept. of Design & Construction,102107,9360,
20171130,2009,856,Dept of Citywide Admin Srvces,1092350,216716,
20171130,2009,858,D.O.I.T.T.,370044,220647,
20171130,2009,860,Dept of Records & Info Serv.,5933,5278,
20171130,2009,866,Department of Consumer Affairs,21540,18506,
20171130,2009,901,District Attorney - N.Y.,96919,74574,
20171130,2009,902,District Attorney - Bronx,50463,43263,
20171130,2009,903,District Attorney - Kings,84282,73393,
20171130,2009,904,District Attorney - Queens,45764,40715,
20171130,2009,905,District Attorney - Richmond,8305,7235,
20171130,2009,906,Off. of Prosec. & Spec. Narc.,17679,15725,
20171130,2009,941,Public Administrator - N.Y.,1148,1148,
20171130,2009,942,Public Administrator - Bronx,508,508,
20171130,2009,943,Public Administrator- Brooklyn,493,493,
20171130,2009,944,Public Administrator - Queens,436,436,
20171130,2009,945,Public Administrator -Richmond,365,365,
20171130,2009,989,Prior Payable Adjustment,-576485,-452764,
20171130,2009,992,Citywide Savings Initiatives,0,0,
20171130,2009,995,Energy Adjustment,0,0,
20171130,2009,996,Lease Adjustment,0,0,
20171130,2009,998,OTPS Inflation Adjustment,0,0,
20171130,2009,ICA,Intra-City Adjustment,-1630725,0,
20171130,2009,PDA,Prepayment and Defeasance Adjustment,-2496716,-2496716,
20171130,2009,TCW,CITYWIDE TOTAL,60779779,40960287,
20171130,2010,100,M.A.C. Debt Service,0,0,
20171130,2010,101,Public Advocate,2573,2573,
20171130,2010,102,City Council,51478,51478,
20171130,2010,103,City Clerk,4221,4221,
20171130,2010,125,Department for the Aging,281619,158078,
20171130,2010,126,Department of Cultural Affairs,142906,140567,
20171130,2010,127,Financial Info. Serv. Agency,60073,45885,
20171130,2010,130,Department of Juvenile Justice,138353,103915,
20171130,2010,131,Office of Payroll Admin.,23636,22171,
20171130,2010,132,Independent Budget Office,3189,3189,
20171130,2010,133,Equal Employment Practices Com,751,751,
20171130,2010,134,Civil Service Commission,554,554,
20171130,2010,136,Landmarks Preservation Comm.,4608,4090,
20171130,2010,138,Districting Commission,0,0,
20171130,2010,156,Taxi & Limousine Commission,30098,30098,
20171130,2010,226,Commission on Human Rights,6899,2308,
20171130,2010,260,Youth & Community Development,405899,220245,
20171130,2010,312,Conflicts of Interest Board,1909,1909,
20171130,2010,313,Office of Collective Barg.,2030,1831,
20171130,2010,499,Community Boards (All),13980,13931,
20171130,2010,781,Department of Probation,82973,62683,
20171130,2010,801,Dept. Small Business Services,159610,53278,
20171130,2010,806,Housing Preservation & Dev.,727910,68171,
